Standard draw		
Sprites	Frames	SD
50	248.6	0.54
100	300	0
200	248.8	1.46
500	163.35	0.81
1000	109.4	0.45
2000	67.35	0.46
5000	31.85	0.17
10000	16.35	0.04
		
Alpha draw		
Sprites	Frames	SD
50	244.75	0.21
100	299.95	0
200	247.55	1.45
500	160.35	0.77
1000	106.15	0.38
2000	70.85	0.59
5000	30.3	0.1
10000	15.25	0.03
		
Rotating draw		
Sprites	Frames	SD
50	239.7	0.17
100	300	0
200	259.3	1.76
500	165.95	0.9
1000	110.2	0.46
2000	67.1	0.38
5000	30.2	0.09
10000	15.3	0.03
		
Moving draw		
Sprites	Frames	SD
50	241.4	0.22
100	299.95	0
200	254.7	1.48
500	167.15	0.99
1000	108.9	0.47
2000	68.95	0.34
5000	33.3	0.29
10000	16.25	0.06
