Standard draw		
Sprites	Frames	SD
50	3217.85	0.3
100	3077.3	0.3
200	2828.4	0.44
500	2235.65	0.24
1000	1630.35	0.56
2000	1036.55	0.33
5000	499.05	0.36
10000	266	0.37
		
Alpha draw		
Sprites	Frames	SD
50	3215.1	0.53
100	3067.6	0.59
200	2823.35	0.8
500	2208.75	0.28
1000	1579.65	0.28
2000	985.6	0.38
5000	466.2	0.26
10000	247.8	0.2
		
Rotating draw		
Sprites	Frames	SD
50	3202.55	0.47
100	3057.25	0.22
200	2761.9	0.83
500	2101.9	0.25
1000	1518.05	0.18
2000	960	0.25
5000	438.55	0.12
10000	222.65	0.02
		
Moving draw		
Sprites	Frames	SD
50	3255.35	0.34
100	3086.15	0.5
200	2834.8	0.46
500	2242.25	0.24
1000	1643.8	0.39
2000	1058.4	0.4
5000	504.7	0.33
10000	270.1	0.28
