Standard draw		
Sprites	Frames	SD
50	527.85	0.11
100	599.9	0.01
200	512.8	0.45
500	301.45	0
1000	200.6	0
2000	110.1	0.04
5000	48.3	0
10000	25	0
		
Alpha draw		
Sprites	Frames	SD
50	526.9	0.05
100	599.25	0.03
200	418.2	0.4
500	298.85	0.06
1000	151.55	0
2000	87.95	0.02
5000	37.05	0
10000	19.65	0
		
Rotating draw		
Sprites	Frames	SD
50	503.7	0.11
100	599.45	0.07
200	483.95	0.38
500	301.45	0.02
1000	190.65	0.05
2000	105.1	0.02
5000	45.95	0
10000	24.05	0
		
Moving draw		
Sprites	Frames	SD
50	522.9	0.07
100	599.5	0.1
200	525.85	0.54
500	301.65	0
1000	200.75	0
2000	113.5	0.02
5000	48.9	0
10000	25.9	0
